"","geoid","name","puma","at_risk","food_insec","food_sec","tot_hh","at_risk_pc","insecure_pc","secure_pc","median_income","moe_median_income"
"1","51059415100","Census Tract 4151, Fairfax County, Virginia","59302",58,158,841,1057,0.054872280037843,0.149479659413434,0.795648060548723,148261,34703
"2","51059415200","Census Tract 4152, Fairfax County, Virginia","59302",63,296,1193,1552,0.0405927835051546,0.190721649484536,0.768685567010309,94347,11796
"3","51059415300","Census Tract 4153, Fairfax County, Virginia","59302",155,291,1222,1668,0.0929256594724221,0.174460431654676,0.732613908872902,79500,32956
"4","51059415401","Census Tract 4154.01, Fairfax County, Virginia","59302",148,839,646,1633,0.0906307409675444,0.513778322106552,0.395590936925903,49333,16150
"5","51059415402","Census Tract 4154.02, Fairfax County, Virginia","59302",57,140,896,1093,0.0521500457456542,0.128087831655993,0.819762122598353,147419,24373
"6","51059415500","Census Tract 4155, Fairfax County, Virginia","59302",73,645,1734,2452,0.0297716150081566,0.26305057096248,0.707177814029364,162105,63057
"7","51059415600","Census Tract 4156, Fairfax County, Virginia","59302",29,95,861,985,0.0294416243654822,0.0964467005076142,0.874111675126904,244028,19812
"8","51059415700","Census Tract 4157, Fairfax County, Virginia","59302",55,87,1068,1210,0.0454545454545455,0.071900826446281,0.882644628099174,187670,18612
"9","51059415800","Census Tract 4158, Fairfax County, Virginia","59302",105,250,1321,1676,0.0626491646778043,0.149164677804296,0.7881861575179,164219,26748
"10","51059415900","Census Tract 4159, Fairfax County, Virginia","59302",34,136,1054,1224,0.0277777777777778,0.111111111111111,0.861111111111111,173828,24652
"11","51059416000","Census Tract 4160, Fairfax County, Virginia","59302",123,609,1125,1857,0.0662358642972536,0.32794830371567,0.605815831987076,89414,23165
"12","51059416100","Census Tract 4161, Fairfax County, Virginia","59302",50,251,1106,1407,0.0355366027007818,0.178393745557925,0.786069651741294,155833,33874
"13","51059416200","Census Tract 4162, Fairfax County, Virginia","59304",120,753,351,1224,0.0980392156862745,0.615196078431373,0.286764705882353,85475,3960
"14","51059416300","Census Tract 4163, Fairfax County, Virginia","59304",45,153,504,702,0.0641025641025641,0.217948717948718,0.717948717948718,143984,19226
"15","51059420100","Census Tract 4201, Fairfax County, Virginia","59306",85,249,776,1110,0.0765765765765766,0.224324324324324,0.699099099099099,131125,23409
"16","51059420201","Census Tract 4202.01, Fairfax County, Virginia","59306",46,112,1151,1309,0.0351413292589763,0.0855614973262032,0.87929717341482,154395,14301
"17","51059420202","Census Tract 4202.02, Fairfax County, Virginia","59306",11,74,1052,1137,0.00967458223394899,0.0650835532102023,0.925241864555849,116006,11793
"18","51059420203","Census Tract 4202.03, Fairfax County, Virginia","59302",42,114,863,1019,0.0412168792934249,0.111874386653582,0.846908734052993,174886,21706
"19","51059420300","Census Tract 4203, Fairfax County, Virginia","59302",111,371,1409,1891,0.0586991010047594,0.196192490745637,0.745108408249603,148417,25610
"20","51059420400","Census Tract 4204, Fairfax County, Virginia","59302",124,334,1560,2018,0.0614469772051536,0.165510406342914,0.773042616451933,86136,22724
"21","51059420501","Census Tract 4205.01, Fairfax County, Virginia","59302",31,138,482,651,0.0476190476190476,0.211981566820276,0.740399385560676,71654,14706
"22","51059420502","Census Tract 4205.02, Fairfax County, Virginia","59302",91,219,1006,1316,0.0691489361702128,0.166413373860182,0.764437689969605,101316,29437
"23","51059420503","Census Tract 4205.03, Fairfax County, Virginia","59302",103,327,999,1429,0.0720783764870539,0.228831350594822,0.699090272918125,91047,17690
"24","51059420600","Census Tract 4206, Fairfax County, Virginia","59302",128,500,1213,1841,0.0695274307441608,0.271591526344378,0.658881042911461,90750,26377
"25","51059420700","Census Tract 4207, Fairfax County, Virginia","59302",91,186,1018,1295,0.0702702702702703,0.143629343629344,0.786100386100386,147419,18765
"26","51059420800","Census Tract 4208, Fairfax County, Virginia","59302",63,162,927,1152,0.0546875,0.140625,0.8046875,141451,13749
"27","51059421001","Census Tract 4210.01, Fairfax County, Virginia","59306",57,175,715,947,0.0601900739176346,0.184794086589229,0.755015839493136,115268,23502
"28","51059421002","Census Tract 4210.02, Fairfax County, Virginia","59306",81,525,1387,1993,0.0406422478675364,0.263421976919217,0.695935775213246,106957,12877
"29","51059421101","Census Tract 4211.01, Fairfax County, Virginia","59306",109,354,1867,2330,0.0467811158798283,0.151931330472103,0.801287553648069,116917,33208
"30","51059421102","Census Tract 4211.02, Fairfax County, Virginia","59306",55,352,1075,1482,0.0371120107962213,0.237516869095816,0.725371120107962,111111,24640
"31","51059421103","Census Tract 4211.03, Fairfax County, Virginia","59306",99,294,1655,2048,0.04833984375,0.1435546875,0.80810546875,129931,28136
"32","51059421200","Census Tract 4212, Fairfax County, Virginia","59302",45,96,574,715,0.0629370629370629,0.134265734265734,0.802797202797203,161250,39104
"33","51059421300","Census Tract 4213, Fairfax County, Virginia","59302",81,174,1115,1370,0.0591240875912409,0.127007299270073,0.813868613138686,131307,13891
"34","51059421400","Census Tract 4214, Fairfax County, Virginia","59302",209,716,1271,2196,0.0951730418943534,0.326047358834244,0.578779599271403,79564,12943
"35","51059421500","Census Tract 4215, Fairfax County, Virginia","59302",247,1051,790,2088,0.118295019157088,0.503352490421456,0.378352490421456,51528,8549
"36","51059421600","Census Tract 4216, Fairfax County, Virginia","59302",226,812,690,1728,0.130787037037037,0.469907407407407,0.399305555555556,50787,23173
"37","51059421701","Census Tract 4217.01, Fairfax County, Virginia","59302",189,750,685,1624,0.116379310344828,0.461822660098522,0.42179802955665,66165,25861
"38","51059421702","Census Tract 4217.02, Fairfax County, Virginia","59302",153,297,818,1268,0.120662460567823,0.234227129337539,0.645110410094637,104789,14906
"39","51059421800","Census Tract 4218, Fairfax County, Virginia","59302",250,859,1141,2250,0.111111111111111,0.381777777777778,0.507111111111111,73168,12200
"40","51059421900","Census Tract 4219, Fairfax County, Virginia","59304",67,391,182,640,0.1046875,0.6109375,0.284375,67368,21989
"41","51059422000","Census Tract 4220, Fairfax County, Virginia","59304",91,307,893,1291,0.0704879938032533,0.237800154918668,0.691711851278079,132692,25480
"42","51059422101","Census Tract 4221.01, Fairfax County, Virginia","59304",315,805,1291,2411,0.130651182082124,0.333886354209871,0.535462463708005,93750,13211
