"geoid","year","measure","measure_type","region_type","value"
51059415100,2022,"at_risk_original","count","tract",326
51059415100,2022,"food_insecure_original","count","tract",111
51059415100,2022,"food_secure_original","count","tract",682
51059415100,2022,"at_risk_pc_original","percent","tract",0.2913
51059415100,2022,"insecure_pc_original","percent","tract",0.0994
51059415100,2022,"secure_pc_original","percent","tract",0.6093
51059415200,2022,"at_risk_original","count","tract",305
51059415200,2022,"food_insecure_original","count","tract",240
51059415200,2022,"food_secure_original","count","tract",1130
51059415200,2022,"at_risk_pc_original","percent","tract",0.1822
51059415200,2022,"insecure_pc_original","percent","tract",0.1435
51059415200,2022,"secure_pc_original","percent","tract",0.6743
51059415300,2022,"at_risk_original","count","tract",323
51059415300,2022,"food_insecure_original","count","tract",252
51059415300,2022,"food_secure_original","count","tract",1129
51059415300,2022,"at_risk_pc_original","percent","tract",0.1897
51059415300,2022,"insecure_pc_original","percent","tract",0.148
51059415300,2022,"secure_pc_original","percent","tract",0.6622
51059415401,2022,"at_risk_original","count","tract",515
51059415401,2022,"food_insecure_original","count","tract",695
51059415401,2022,"food_secure_original","count","tract",642
51059415401,2022,"at_risk_pc_original","percent","tract",0.2783
51059415401,2022,"insecure_pc_original","percent","tract",0.3752
51059415401,2022,"secure_pc_original","percent","tract",0.3465
51059415402,2022,"at_risk_original","count","tract",110
51059415402,2022,"food_insecure_original","count","tract",167
51059415402,2022,"food_secure_original","count","tract",834
51059415402,2022,"at_risk_pc_original","percent","tract",0.0996
51059415402,2022,"insecure_pc_original","percent","tract",0.1509
51059415402,2022,"secure_pc_original","percent","tract",0.7494
51059415500,2022,"at_risk_original","count","tract",407
51059415500,2022,"food_insecure_original","count","tract",710
51059415500,2022,"food_secure_original","count","tract",1235
51059415500,2022,"at_risk_pc_original","percent","tract",0.1731
51059415500,2022,"insecure_pc_original","percent","tract",0.3018
51059415500,2022,"secure_pc_original","percent","tract",0.5251
51059415600,2022,"at_risk_original","count","tract",221
51059415600,2022,"food_insecure_original","count","tract",119
51059415600,2022,"food_secure_original","count","tract",683
51059415600,2022,"at_risk_pc_original","percent","tract",0.2163
51059415600,2022,"insecure_pc_original","percent","tract",0.1165
51059415600,2022,"secure_pc_original","percent","tract",0.6672
51059415700,2022,"at_risk_original","count","tract",510
51059415700,2022,"food_insecure_original","count","tract",139
51059415700,2022,"food_secure_original","count","tract",614
51059415700,2022,"at_risk_pc_original","percent","tract",0.4037
51059415700,2022,"insecure_pc_original","percent","tract",0.1106
51059415700,2022,"secure_pc_original","percent","tract",0.4858
51059415800,2022,"at_risk_original","count","tract",525
51059415800,2022,"food_insecure_original","count","tract",292
51059415800,2022,"food_secure_original","count","tract",958
51059415800,2022,"at_risk_pc_original","percent","tract",0.2959
51059415800,2022,"insecure_pc_original","percent","tract",0.1644
51059415800,2022,"secure_pc_original","percent","tract",0.5396
51059415900,2022,"at_risk_original","count","tract",225
51059415900,2022,"food_insecure_original","count","tract",103
51059415900,2022,"food_secure_original","count","tract",866
51059415900,2022,"at_risk_pc_original","percent","tract",0.1883
51059415900,2022,"insecure_pc_original","percent","tract",0.0863
51059415900,2022,"secure_pc_original","percent","tract",0.7254
51059416000,2022,"at_risk_original","count","tract",489
51059416000,2022,"food_insecure_original","count","tract",733
51059416000,2022,"food_secure_original","count","tract",979
51059416000,2022,"at_risk_pc_original","percent","tract",0.2221
51059416000,2022,"insecure_pc_original","percent","tract",0.3329
51059416000,2022,"secure_pc_original","percent","tract",0.4449
51059416100,2022,"at_risk_original","count","tract",295
51059416100,2022,"food_insecure_original","count","tract",246
51059416100,2022,"food_secure_original","count","tract",907
51059416100,2022,"at_risk_pc_original","percent","tract",0.2039
51059416100,2022,"insecure_pc_original","percent","tract",0.1703
51059416100,2022,"secure_pc_original","percent","tract",0.6258
51059416200,2022,"at_risk_original","count","tract",338
51059416200,2022,"food_insecure_original","count","tract",535
51059416200,2022,"food_secure_original","count","tract",349
51059416200,2022,"at_risk_pc_original","percent","tract",0.2765
51059416200,2022,"insecure_pc_original","percent","tract",0.4379
51059416200,2022,"secure_pc_original","percent","tract",0.2856
51059416300,2022,"at_risk_original","count","tract",185
51059416300,2022,"food_insecure_original","count","tract",131
51059416300,2022,"food_secure_original","count","tract",385
51059416300,2022,"at_risk_pc_original","percent","tract",0.2638
51059416300,2022,"insecure_pc_original","percent","tract",0.1867
51059416300,2022,"secure_pc_original","percent","tract",0.5495
51059420100,2022,"at_risk_original","count","tract",281
51059420100,2022,"food_insecure_original","count","tract",315
51059420100,2022,"food_secure_original","count","tract",603
51059420100,2022,"at_risk_pc_original","percent","tract",0.2345
51059420100,2022,"insecure_pc_original","percent","tract",0.263
51059420100,2022,"secure_pc_original","percent","tract",0.5025
51059420201,2022,"at_risk_original","count","tract",227
51059420201,2022,"food_insecure_original","count","tract",109
51059420201,2022,"food_secure_original","count","tract",967
51059420201,2022,"at_risk_pc_original","percent","tract",0.1744
51059420201,2022,"insecure_pc_original","percent","tract",0.0837
51059420201,2022,"secure_pc_original","percent","tract",0.7419
51059420202,2022,"at_risk_original","count","tract",140
51059420202,2022,"food_insecure_original","count","tract",58
51059420202,2022,"food_secure_original","count","tract",1031
51059420202,2022,"at_risk_pc_original","percent","tract",0.1139
51059420202,2022,"insecure_pc_original","percent","tract",0.0474
51059420202,2022,"secure_pc_original","percent","tract",0.8386
51059420203,2022,"at_risk_original","count","tract",234
51059420203,2022,"food_insecure_original","count","tract",107
51059420203,2022,"food_secure_original","count","tract",711
51059420203,2022,"at_risk_pc_original","percent","tract",0.2228
51059420203,2022,"insecure_pc_original","percent","tract",0.1017
51059420203,2022,"secure_pc_original","percent","tract",0.6755
51059420300,2022,"at_risk_original","count","tract",635
51059420300,2022,"food_insecure_original","count","tract",390
51059420300,2022,"food_secure_original","count","tract",1047
51059420300,2022,"at_risk_pc_original","percent","tract",0.3066
51059420300,2022,"insecure_pc_original","percent","tract",0.1881
51059420300,2022,"secure_pc_original","percent","tract",0.5053
51059420400,2022,"at_risk_original","count","tract",418
51059420400,2022,"food_insecure_original","count","tract",207
51059420400,2022,"food_secure_original","count","tract",1564
51059420400,2022,"at_risk_pc_original","percent","tract",0.191
51059420400,2022,"insecure_pc_original","percent","tract",0.0949
51059420400,2022,"secure_pc_original","percent","tract",0.7141
51059420501,2022,"at_risk_original","count","tract",148
51059420501,2022,"food_insecure_original","count","tract",87
51059420501,2022,"food_secure_original","count","tract",443
